date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:27	48971/48971	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2011:07:28%20GMT	http://demo.themenio.com/appsland/index-x2-half-header.html	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/index-x2-half-header.html	(from )
10:48:27	4677/4677	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:15:18%20GMT	http://demo.themenio.com/robots.txt		(from )
10:48:28	1990/1990	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jun%202018%2010:48:56%20GMT	http://demo.themenio.com/appsland/images/favicon.png	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/images/favicon.png	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:33	63575/63575	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2010:12:29%20GMT	http://demo.themenio.com/appsland/assets/css/style.css?ver=130	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/assets/css/stylec302.css	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:35	218338/218338	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jun%202018%2010:45:14%20GMT	http://demo.themenio.com/appsland/assets/css/vendor.bundle.css?ver=130	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/assets/css/vendor.bundlec302.css	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:35	3370/3370	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2010:12:32%20GMT	http://demo.themenio.com/appsland/assets/css/theme-royel-teal.css?ver=130	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/assets/css/theme-royel-tealc302.css	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:36	5646/5646	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jun%202018%2010:49:08%20GMT	http://demo.themenio.com/appsland/images/logo-white.png	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/images/logo-white.png	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:37	46223/46223	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2009:49:23%20GMT	http://demo.themenio.com/appsland/	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/index.html	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:37	5701/5701	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jun%202018%2010:49:08%20GMT	http://demo.themenio.com/appsland/images/logo.png	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/images/logo.png	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:38	46223/46223	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2009:49:23%20GMT	http://demo.themenio.com/appsland/index.html	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/index-2.html	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:38	6853/6853	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jun%202018%2010:49:09%20GMT	http://demo.themenio.com/appsland/images/mobile-app-s1.jpg	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/images/mobile-app-s1.jpg	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:38	46001/46001	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2009:49:17%20GMT	http://demo.themenio.com/appsland/index-particles.html	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/index-particles.html	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:39	45899/45899	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2009:49:13%20GMT	http://demo.themenio.com/appsland/index-gradient.html	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/index-gradient.html	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:40	47223/47223	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2009:49:17%20GMT	http://demo.themenio.com/appsland/index-slider.html	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/index-slider.html	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
10:48:41	46184/46184	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2009:49:20%20GMT	http://demo.themenio.com/appsland/index-video.html	D:/Documents/Mis%20lugares%20Web/casino/kingdeportes%20Website/demo.themenio.com/appsland/index-video.html	(from http://demo.themenio.com/appsland/index-x2-half-header.html)
